Portefeuille,ISIN,Nom,Quantite,PAM_EUR,RefPrix_EUR
CTO,US9311421039,Walmart Inc.,26.88,78.51,108.57
CTO,IE00B0M62Q58,iShares MSCI World ETF,19.71,78.21,80.86
CTO,US67066G1040,NVIDIA Corp.,8.51,159.81,159.22
CTO,US57636Q1040,Mastercard Inc.,3.01,469.43,432.48
CTO,US5949181045,Microsoft Corp.,3.26,399.52,350.20
CTO,US1912161007,Coca-Cola Co.,6.02,62.21,67.54
CTO,US7134481081,PepsiCo Inc.,2.91,155.33,138.42
CTO,US92826C8394,Visa Inc.,1.31,312.98,267.19
CTO,US22160K1051,Costco Wholesale,0.39,935.92,862.23
CTO,US34959E1091,Fortinet Inc.,4.00,66.12,73.15
CTO,US69608A1088,Palantir Technologies,0.99,151.52,133.91
PEA,FR0011550185,ETF S&P500 BNPP,82.00,28.96,29.47
PEA,NL0000235190,Airbus SE,8.00,179.08,176.90
PEA,FR0000133308,Orange S.A.,73.00,12.86,17.02
PEA,FR0000121014,LVMH,2.00,583.70,499.25
PEA,FR0000131104,BNP Paribas,10.00,79.24,89.48
PEA,FR0000120628,AXA S.A.,20.00,40.96,38.00
PEA,FR0000045072,Credit Agricole,29.00,17.17,16.97
PEA,FR0000120073,Air Liquide,2.00,166.74,167.52
PEA,LU3047998896,ETF Defense BNPP,20.00,11.82,11.62
PEA,LU1834983477,ETF Banks Amundi,4.00,62.40,58.57
PEA,FR0000125007,Saint-Gobain,1.00,91.58,73.80
PEA,FR0010220475,Alstom S.A.,3.00,23.04,24.30
PEA,FR0010667147,Coface S.A.,4.00,16.01,14.83
OBLIGATIONS,US458140CH18,Intel Corp. DL-Notes 2023(23/43),2868.43,,
OBLIGATIONS,US912810SQ22,US Treasury DL-Notes 2020(40),4609.23,,
CRYPTO,bitcoin,Bitcoin,0.013059,59773.00,60775.71
CRYPTO,solana,Solana,1.129128,111.94,75.35
